Mass Bins,Sim_10000_mean,Sim_1000_mean,Sim_100_mean
1,98259675575,272186250.7,8.03E+10
2,1.30E+13,1.43E+13,1.16E+13
3,1.39E+14,1.57E+14,1.68E+14
4,4.13E+14,4.50E+14,4.88E+14
5,5.76E+14,6.74E+14,7.13E+14
6,5.64E+14,5.50E+14,5.92E+14
7,4.33E+14,4.78E+14,5.50E+14
8,4.95E+14,5.49E+14,5.05E+14
9,2.96E+14,3.14E+14,3.02E+14
10,1.48E+14,1.46E+14,1.56E+14
11,1.33E+14,1.45E+14,1.47E+14
12,1.94E+14,2.12E+14,2.12E+14
13,3.30E+14,3.54E+14,3.73E+14
14,5.04E+14,5.43E+14,5.20E+14
15,6.72E+14,7.08E+14,6.40E+14
16,7.81E+14,8.40E+14,8.14E+14
17,9.72E+14,1.00E+15,9.94E+14
18,1.02E+15,1.02E+15,1.02E+15
19,1.41E+15,1.34E+15,1.35E+15
20,2.16E+15,2.03E+15,1.60E+15
21,3.61E+15,3.27E+15,1.25E+15
22,4.45E+15,2.96E+15,6.92E+14
23,3.25E+15,1.89E+14,9.44E+13
24,1.06E+15,0,0
25,3.49E+13,0,0
