Mass Bins,Sim_10000_mean,Sim_1000_mean,Sim_100_mean
1,9748276494,57749874.85,34174457744
2,3.62E+12,3.52E+12,3.07E+12
3,3.47E+13,4.00E+13,4.35E+13
4,8.75E+13,9.25E+13,1.06E+14
5,8.91E+13,1.10E+14,1.17E+14
6,7.13E+13,7.23E+13,7.81E+13
7,5.65E+13,6.15E+13,7.58E+13
8,5.67E+13,6.41E+13,5.92E+13
9,4.91E+13,5.75E+13,7.01E+13
10,1.08E+14,1.28E+14,1.43E+14
11,1.23E+14,1.46E+14,1.54E+14
12,1.45E+14,1.66E+14,1.72E+14
13,1.97E+14,2.23E+14,2.46E+14
14,2.74E+14,3.05E+14,3.03E+14
15,3.06E+14,3.30E+14,3.11E+14
16,3.03E+14,3.30E+14,3.28E+14
17,2.99E+14,3.12E+14,3.13E+14
18,2.44E+14,2.44E+14,2.40E+14
19,2.62E+14,2.47E+14,2.33E+14
20,3.09E+14,2.87E+14,1.98E+14
21,3.92E+14,3.48E+14,1.04E+14
22,3.68E+14,2.28E+14,3.76E+13
23,2.06E+14,3.08E+12,1.53E+12
24,5.34E+13,,
25,1.34E+12,,
