Mass Bins,Sim_10000_mean,Sim_1000_mean,Sim_100_mean
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,6.46E-11,0,6.21E-06
9,3.63E+04,4.42E+04,6.05E+04
10,3.64E+05,4.19E+05,4.61E+05
11,1.19E+06,1.35E+06,1.42E+06
12,3.98E+06,4.40E+06,4.58E+06
13,1.55E+07,1.70E+07,1.89E+07
14,5.94E+07,6.46E+07,6.31E+07
15,1.84E+08,1.92E+08,1.84E+08
16,5.15E+08,5.36E+08,5.46E+08
17,1.40E+09,1.43E+09,1.44E+09
18,3.17E+09,3.17E+09,3.09E+09
19,9.60E+09,9.15E+09,8.61E+09
20,3.20E+10,3.02E+10,1.87E+10
21,1.12E+11,1.03E+11,2.84E+10
22,2.56E+11,1.63E+11,2.23E+10
23,3.20E+11,1.79E+09,8.87E+08
24,2.93E+11,,
25,1.52E+10,,
