Mass Bin,Thermo,HB
1,End,0
2,End,0
3,End,0
4,End,0
5,End,0
6,End,0
7,End,0
8,End,0
9,End,3543552.189
10,End,21748218.85
11,End,26599240.78
12,End,38875889.14
13,End,61246753.92
14,End,144717223.2
15,End,174586402
16,End,149307461.6
17,End,176041910
18,End,262688340.9
19,End,493051489.2
20,End,844710406.7
21,End,1493866543
22,End,1880889334
23,End,1688752301
24,End,579011800.1
25,End,6802027.025
1,Ect,0
2,Ect,0
3,Ect,11204367.74
4,Ect,47945111.59
5,Ect,71004455.87
6,Ect,128757067.4
7,Ect,17329247.66
8,Ect,7603908.748
9,Ect,28878091.28
10,Ect,11969398.08
11,Ect,14507586.9
12,Ect,22675807.1
13,Ect,34227952.51
14,Ect,49153843.24
15,Ect,57303499.11
16,Ect,37387038.92
17,Ect,25199488.57
18,Ect,20412641.24
19,Ect,16411967.95
20,Ect,11446677.73
21,Ect,12784825.92
22,Ect,14977179.56
23,Ect,6377590.342
24,Ect,0
25,Ect,0
,,
,,8.69E+09
