Mass Bin,Thermo,HB
1,End,0
2,End,0
3,End,0
4,End,0
5,End,0
6,End,0
7,End,0
8,End,0
9,End,498958.993
10,End,2241508.117
11,End,7655742.097
12,End,22238719.57
13,End,54798863.8
14,End,104476917.1
15,End,208473584.2
16,End,446929920.5
17,End,652461334.9
18,End,313814465
19,End,197123937.6
20,End,283260098.7
21,End,511659704.7
22,End,401938099.3
23,End,236037424.3
24,End,108448550.5
25,End,9651375.699
1,Ect,0
2,Ect,0
3,Ect,185856.3303
4,Ect,2975261.213
5,Ect,28193628.04
6,Ect,49709611.04
7,Ect,21921138.45
8,Ect,39003309.39
9,Ect,7293965.535
10,Ect,9647923.158
11,Ect,10506614.27
12,Ect,15671983.01
13,Ect,25221123.4
14,Ect,28826636.47
15,Ect,38699390.79
16,Ect,54410503.02
17,Ect,57178287.21
18,Ect,27093828.92
19,Ect,10190350.07
20,Ect,5031769.421
21,Ect,576869.6284
22,Ect,0
23,Ect,0
24,Ect,0
25,Ect,0
,,
,,3.99E+09
