Mass Bin,Thermo,HB
1,End,0
2,End,0
3,End,0
4,End,0
5,End,0
6,End,0
7,End,0
8,End,0
9,End,0
10,End,0
11,End,501.4959393
12,End,1299.998609
13,End,8097.480056
14,End,46063.73671
15,End,523164.9321
16,End,3247372.609
17,End,14114609.34
18,End,28207533.56
19,End,53923951.78
20,End,92168552.35
21,End,126549772
22,End,120605242.2
23,End,88203436.28
24,End,22984976.84
25,End,85001.76125
1,Ect,0
2,Ect,0
3,Ect,0
4,Ect,0
5,Ect,0
6,Ect,0.199254686
7,Ect,830.732201
8,Ect,3380.971543
9,Ect,50908.39362
10,Ect,313756.9916
11,Ect,1347690.91
12,Ect,3917792.08
13,Ect,6898342.049
14,Ect,10041741.5
15,Ect,13922248.19
16,Ect,15499755.14
17,Ect,12389956.62
18,Ect,5682895.814
19,Ect,2373716.861
20,Ect,1286452.386
21,Ect,1855453.571
22,Ect,2887962.575
23,Ect,882206.1944
24,Ect,0
25,Ect,0
,,
,,6.30E+08
