Mass Bin,Thermo,HB
1,End,0
2,End,0
3,End,0
4,End,0
5,End,0
6,End,0
7,End,0
8,End,0
9,End,12568.7151
10,End,916704.004
11,End,4443221.78
12,End,8934958.815
13,End,20451878.41
14,End,48615795.14
15,End,117659626.6
16,End,140105807.1
17,End,135831555.9
18,End,138161068.7
19,End,218663724.8
20,End,342244484.2
21,End,530080815.3
22,End,634457450.2
23,End,470975683.4
24,End,180795382
25,End,2901304.4
1,Ect,0
2,Ect,27226.88587
3,Ect,23839613.19
4,Ect,83334490.1
5,Ect,187798035.5
6,Ect,177082082.7
7,Ect,111406273.2
8,Ect,52896211.05
9,Ect,18436891.1
10,Ect,20420611.68
11,Ect,24632057.41
12,Ect,25450807.44
13,Ect,32307129.24
14,Ect,23944354.35
15,Ect,20626488.75
16,Ect,11840245.35
17,Ect,4948521.559
18,Ect,2570130.614
19,Ect,958982.733
20,Ect,133604.0351
21,Ect,8330.934666
22,Ect,0
23,Ect,0
24,Ect,0
25,Ect,0
,,
,,3.82E+09
