,Latitude,Longitude,10,11,12,13,14,15,16,17,18,EndAbd,EctAbd
1,-55,-74,3160554830,225545.2819,1866626878,1653017847,366404689.7,541878126.9,555326794.6,361539824.2,428569273,5027407253,3906736555
2,-55,-72,2517762576,13987429.61,2236040038,22982548558,790554462.6,17597168967,1109866983,429768004.4,848731789.4,4767790044,43758638765
3,-55,-70,734035373.8,1429962.834,361967781,29216591413,773599690.3,1111318713,1009568960,1827492118,2710574274,1097433118,36649145168
4,-55,-68,2492119520,1694987.452,1563014084,11679068356,247696053.1,46913164042,1049801846,504440155.3,1088485014,4056828591,61482655467
5,-53,-74,7540866431,2325195.256,2789056433,4632188050,595277913.6,8.04E+13,1405069837,457754248.3,1038895373,10332248060,8.04E+13
6,-53,-72,5161387723,16770694.78,2506205513,32174109888,1299685686,36221233822,1018210484,429208129.5,954319513.9,7684363930,72096767522
7,-53,-70,458688931,650520.753,101430379.6,82183655128,682674020.8,27974782216,890039139.1,691895312.1,1072498508,560769831.4,1.13E+11
8,-53,-60,616052046.6,0,191520017.6,9174437378,505785338.5,7443997666,850416080.8,432987926.2,764273102.5,807572064.1,19171897492
9,-51,-76,2073117443,14326747.03,793012243.4,3051690223,111685844.8,2945980040,466290991.5,188604949.8,813220589.9,2880456434,7577472639
10,-51,-74,4089984452,16936040.27,2191447102,12123235609,516252741.9,25417576630,1001403727,342722698.3,900704512.3,6298367594,40301895919
11,-51,-72,227770493.2,4035426.509,133561633.1,34504348597,337327779.4,22554810702,1499443939,343920456.9,863130195.6,365367552.8,60102981671
12,-51,-70,51955635,1044901.014,62043074.48,90683913082,280720985.6,49589345614,1145247465,312913695.8,608824698.9,115043610.5,1.43E+11
13,-49,-76,901970172.9,21336688.81,962793554.5,2.96E+12,206582355.3,2191782172,606856035.9,930622786.6,744681786.4,1886100416,2.96E+12
14,-49,-74,6426570948,9711125.242,591318666.8,1.04E+11,12601047175,5.01E+11,5536173175,20806923143,18650505868,7027600740,6.62E+11
15,-49,-72,1034941262,12446385.66,114555506,17976969477,195413094.7,1915711571,1583926965,326095172.1,1304812059,1161943153,23302928340
16,-49,-70,26188965.17,2.685949715,3699370.197,29779371419,299391428.2,15394680266,857511660.7,158679687.6,832113086.5,29888338.06,47321747548
17,-49,-68,69558769.93,556450.0123,43394464.53,28946634329,167649410.4,14812980882,1324258828,287994019.1,654584522.7,113509684.5,46194101991
18,-47,-76,13962322749,80624948.05,5810986170,42696221097,580226858.9,8596850416,1545761765,1113556591,1652199830,19853933868,56184816558
19,-47,-74,1786110675,12701103.24,1995239519,25961414916,340183555.7,7251423387,2668569390,523242929.8,502592798.1,3794051297,37247426977
