Trophic Group,Sim_10000_a,Sim_10000_b,Sim_10000_c,Sim_10000_d,Sim_10000_e,Sim_10000_mean
Endothermic,1.82E+16,1.71E+16,1.78E+16,1.72E+16,1.72E+16,1.75E+16
Ectothermic ,6.28E+15,6.35E+15,6.04E+15,5.97E+15,6.07E+15,6.14E+15
,,,,,,
Trophic Group,Sim_1000_a,Sim_1000_b,Sim_1000_c,Sim_1000_d,Sim_1000_e,Sim_1000_mean
Endothermic,1.16E+16,1.15E+16,1.19E+16,1.14E+16,1.19E+16,1.17E+16
Ectothermic ,6.41E+15,6.52E+15,6.36E+15,6.20E+15,6.06E+15,6.31E+15
,,,,,,
Trophic Group,Sim_100_a,Sim_100_b,Sim_100_c,Sim_100_d,Sim_100_e,Sim_100_mean
Endothermic,7.05E+15,6.64E+15,6.77E+15,6.71E+15,7.07E+15,6.85E+15
Ectothermic ,6.44E+15,6.32E+15,6.30E+15,6.01E+15,6.66E+15,6.35E+15
