Latitude,Longitude,Sim_10000,Sim_1000,Sim_100
-64,-179,NA,NA,NA
-64,-177,NA,NA,NA
-64,-175,NA,NA,NA
-64,-173,NA,NA,NA
-64,-171,NA,NA,NA
-64,-169,NA,NA,NA
-64,-167,NA,NA,NA
-64,-165,NA,NA,NA
-64,-163,NA,NA,NA
-64,-161,NA,NA,NA
-64,-159,NA,NA,NA
-64,-157,NA,NA,NA
-64,-155,NA,NA,NA
-64,-153,NA,NA,NA
-64,-151,NA,NA,NA
-64,-149,NA,NA,NA
-64,-147,NA,NA,NA
-64,-145,NA,NA,NA
-64,-143,NA,NA,NA
-64,-141,NA,NA,NA
-64,-139,NA,NA,NA
-64,-137,NA,NA,NA
-64,-135,NA,NA,NA
-64,-133,NA,NA,NA
-64,-131,NA,NA,NA
-64,-129,NA,NA,NA
-64,-127,NA,NA,NA
-64,-125,NA,NA,NA
-64,-123,NA,NA,NA
-64,-121,NA,NA,NA
-64,-119,NA,NA,NA
-64,-117,NA,NA,NA
-64,-115,NA,NA,NA
-64,-113,NA,NA,NA
-64,-111,NA,NA,NA
-64,-109,NA,NA,NA
-64,-107,NA,NA,NA
-64,-105,NA,NA,NA
-64,-103,NA,NA,NA
-64,-101,NA,NA,NA
-64,-99,NA,NA,NA
-64,-97,NA,NA,NA
-64,-95,NA,NA,NA
-64,-93,NA,NA,NA
-64,-91,NA,NA,NA
-64,-89,NA,NA,NA
-64,-87,NA,NA,NA
-64,-85,NA,NA,NA
-64,-83,NA,NA,NA
-64,-81,NA,NA,NA
-64,-79,NA,NA,NA
-64,-77,NA,NA,NA
-64,-75,NA,NA,NA
-64,-73,NA,NA,NA
-64,-71,NA,NA,NA
-64,-69,NA,NA,NA
-64,-67,NA,NA,NA
-64,-65,NA,NA,NA
-64,-63,NA,NA,NA
-64,-61,NA,NA,NA
-64,-59,NA,NA,NA
-64,-57,NA,NA,NA
-64,-55,NA,NA,NA
-64,-53,NA,NA,NA
-64,-51,NA,NA,NA
-64,-49,NA,NA,NA
-64,-47,NA,NA,NA
-64,-45,NA,NA,NA
-64,-43,NA,NA,NA
-64,-41,NA,NA,NA
-64,-39,NA,NA,NA
-64,-37,NA,NA,NA
-64,-35,NA,NA,NA
-64,-33,NA,NA,NA
-64,-31,NA,NA,NA
-64,-29,NA,NA,NA
-64,-27,NA,NA,NA
-64,-25,NA,NA,NA
-64,-23,NA,NA,NA
-64,-21,NA,NA,NA
-64,-19,NA,NA,NA
-64,-17,NA,NA,NA
-64,-15,NA,NA,NA
-64,-13,NA,NA,NA
-64,-11,NA,NA,NA
-64,-9,NA,NA,NA
-64,-7,NA,NA,NA
-64,-5,NA,NA,NA
-64,-3,NA,NA,NA
-64,-1,NA,NA,NA
-64,1,NA,NA,NA
-64,3,NA,NA,NA
-64,5,NA,NA,NA
-64,7,NA,NA,NA
-64,9,NA,NA,NA
-64,11,NA,NA,NA
-64,13,NA,NA,NA
-64,15,NA,NA,NA
-64,17,NA,NA,NA
-64,19,NA,NA,NA
-64,21,NA,NA,NA
-64,23,NA,NA,NA
