Mass Bin,Thermo,HB
1,End,0
2,End,0
3,End,0
4,End,0
5,End,0
6,End,0
7,End,0
8,End,0
9,End,1243584.71
10,End,6537048.487
11,End,9304715.642
12,End,12621478.26
13,End,23846751.02
14,End,38865704.66
15,End,42568478.99
16,End,47921874.82
17,End,58506815.28
18,End,90539155.02
19,End,151146569.5
20,End,222001973.6
21,End,306316824.4
22,End,396632733.8
23,End,350093477.9
24,End,184047794.9
25,End,12574472.45
1,Ect,0
2,Ect,1502826.046
3,Ect,41383892
4,Ect,103822795.8
5,Ect,86170739.58
6,Ect,157439809.8
7,Ect,293682498.3
8,Ect,287934014
9,Ect,114140697.3
10,Ect,66402241.37
11,Ect,24264446.03
12,Ect,36715641.68
13,Ect,60115301.46
14,Ect,73938152.93
15,Ect,85064011.51
16,Ect,83088044.73
17,Ect,82403247.19
18,Ect,105523394.4
19,Ect,151157014.2
20,Ect,177591293.5
21,Ect,234216381.1
22,Ect,216533254.6
23,Ect,139798080.3
24,Ect,0
25,Ect,0
,,
,,4.58E+09
