Mass Bin,Thermo,HB
1,End,0
2,End,0
3,End,0
4,End,0
5,End,0
6,End,0
7,End,0
8,End,0
9,End,2818745.467
10,End,18622118.41
11,End,25527869.43
12,End,39770646.76
13,End,68209087.33
14,End,125279294.2
15,End,125405408.5
16,End,67572214.02
17,End,80830141.72
18,End,170592961.1
19,End,354625472.4
20,End,669929514
21,End,1306227023
22,End,2198455686
23,End,1296985923
24,End,418615678.2
25,End,25202678.41
1,Ect,0
2,Ect,0
3,Ect,0
4,Ect,0
5,Ect,254.4232579
6,Ect,1490760.352
7,Ect,1079837.168
8,Ect,1575786.627
9,Ect,3381524.801
10,Ect,5849639.071
11,Ect,10021825.48
12,Ect,17706046.14
13,Ect,31203145.89
14,Ect,44849143
15,Ect,51345399.35
16,Ect,31684649.32
17,Ect,23135061.79
18,Ect,23041290.64
19,Ect,21963407.74
20,Ect,22957459.22
21,Ect,27802496.69
22,Ect,31729368.36
23,Ect,11977685.97
24,Ect,0
25,Ect,0
,,
,,7.36E+09
