Mass Bin,Sim_10000_a,Sim_10000_b,Sim_10000_c,Sim_10000_d,Sim_10000_e,Sim_10000_mean
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,7.47E-15,0,0,0,0,7.47E-15
9,7.01E-01,7.49E-01,7.37E-01,8.46E-01,0.66627909,7.40E-01
10,7.70E+00,7.77E+00,7.58E+00,8.35E+00,7.90894856,7.86E+00
11,2.55E+01,2.76E+01,2.50E+01,2.74E+01,27.60452861,2.66E+01
12,8.99E+01,9.52E+01,8.89E+01,9.32E+01,92.96994963,9.20E+01
13,3.54E+02,3.81E+02,3.55E+02,3.75E+02,365.8711778,3.66E+02
14,1.40E+03,1.49E+03,1.41E+03,1.46E+03,1486.468963,1.45E+03
15,4.63E+03,5.09E+03,4.52E+03,4.68E+03,4848.057704,4.75E+03
16,1.32E+04,1.43E+04,1.40E+04,1.37E+04,14561.34402,1.40E+04
17,3.46E+04,3.80E+04,3.83E+04,3.97E+04,39037.26179,3.79E+04
18,8.03E+04,8.45E+04,8.42E+04,8.55E+04,81836.81405,8.33E+04
19,2.59E+05,2.49E+05,2.53E+05,2.44E+05,250078.0834,2.51E+05
20,8.82E+05,8.17E+05,8.56E+05,8.10E+05,824504.5127,8.38E+05
21,3.21E+06,2.91E+06,3.10E+06,2.83E+06,2932269.619,3.00E+06
22,7.79E+06,7.30E+06,7.63E+06,7.14E+06,7066079.53,7.39E+06
23,1.15E+07,1.03E+07,1.11E+07,1.15E+07,10815186.62,1.10E+07
24,7.72E+06,6.45E+06,7.00E+06,7.26E+06,7046555.902,7.10E+06
25,3.28E+05,3.27E+05,3.57E+05,4.32E+05,333674.1523,3.56E+05
,,,,,,
Mass Bin,Sim_1000_a,Sim_1000_b,Sim_1000_c,Sim_1000_d,Sim_1000_e,Sim_1000_mean
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0.96219211,0.99405096,1.01553421,1.07573071,0.73860695,0.95722299
10,9.78103506,9.55842407,9.81790707,9.11834735,9.21391401,9.49792551
11,32.5148932,31.98100521,32.22533997,30.37541623,30.66398901,31.55212872
12,108.8515835,104.9585597,106.927275,102.6211482,105.7741715,105.8265476
13,418.2393929,415.1315077,422.6070034,416.2908915,411.4060744,416.734974
14,1628.483888,1636.807751,1664.469728,1574.308795,1603.151293,1621.444291
15,5000.568623,5133.580288,5258.660677,5118.396819,5464.127835,5195.066848
16,14397.08488,15345.17865,14574.6361,15349.71869,16688.22239,15270.96814
17,41206.10936,40809.72156,35881.91547,40594.44395,39883.06759,39675.05159
18,85544.98151,88208.00593,78908.44132,81916.58255,83071.5188,83529.90602
19,230211.9636,237273.1756,243640.4601,230219.9254,242194.8386,236708.0726
20,768777.2106,756163.0681,801746.3948,769025.1611,793462.3512,777834.8371
21,2627156.546,2595368.281,2783648.209,2547042.828,2618530.459,2634349.265
22,4188879.454,3891489.198,4383428.919,4022233.128,4284816.743,4154169.488
23,53974.87832,48607.5391,56617.62274,57706.24373,69586.5232,57298.56142
24,0,0,0,0,0,0
25,0,0,0,0,0,0
,,,,,,
Mass Bin,Sim_100_a,Sim_100_b,Sim_100_c,Sim_100_d,Sim_100_e,Sim_100_mean
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,9.37E-15,5.17E-10,3.09E-11,0,1.81E-10,1.82E-10
9,1.37688559,1.49512839,1.29811804,1.49807231,1.27198839,1.39E+00
10,10.01722837,10.59565299,11.02063954,11.02412147,10.54695744,1.06E+01
11,30.8195161,34.11505557,35.71404641,34.23677135,33.72957619,3.37E+01
12,101.7900677,116.2588212,117.8634535,111.2306005,111.1604513,1.12E+02
13,440.2272971,474.5177616,480.5698222,462.7334589,469.4572972,4.66E+02
14,1529.413031,1601.459095,1623.515495,1607.088639,1697.363269,1.61E+03
15,4804.16847,5092.579309,5050.67651,4909.600966,5139.725407,5.00E+03
16,15949.42734,15314.62077,14860.60447,15028.03349,15682.2457,1.54E+04
17,44264.61225,36358.33476,36647.35049,40357.60587,42040.84004,3.99E+04
18,86886.84402,74608.50143,78896.85898,81891.21857,85467.62748,8.16E+04
19,227868.8404,214629.9497,220586.8512,214623.4032,236209.471,2.23E+05
20,494392.9799,489485.4734,498672.3843,467926.639,497504.4194,4.90E+05
21,858223.3204,755691.8989,772765.3921,784644.7393,777761.6641,7.90E+05
22,635483.0233,589046.6976,660821.8869,585689.5797,668090.7101,6.28E+05
23,27227.99136,20039.43555,25756.51724,20347.15514,35137.55841,2.57E+04
24,0,0,0,0,0,0
25,0,0,0,0,0,0
