Mass Bins,Sim_10000_mean,Sim_1000_mean,Sim_100_mean
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,7.47E-15,0,1.82E-10
9,7.40E-01,9.57E-01,1.39E+00
10,7.86E+00,9.50E+00,1.06E+01
11,2.66E+01,3.16E+01,3.37E+01
12,9.20E+01,1.06E+02,1.12E+02
13,3.66E+02,4.17E+02,4.66E+02
14,1.45E+03,1.62E+03,1.61E+03
15,4.75E+03,5.20E+03,5.00E+03
16,1.40E+04,1.53E+04,1.54E+04
17,3.79E+04,3.97E+04,3.99E+04
18,8.33E+04,8.35E+04,8.16E+04
19,2.51E+05,2.37E+05,2.23E+05
20,8.38E+05,7.78E+05,4.90E+05
21,3.00E+06,2.63E+06,7.90E+05
22,7.39E+06,4.15E+06,6.28E+05
23,1.10E+07,5.73E+04,2.57E+04
24,7.10E+06,0,0
25,3.56E+05,0,0
