,10,11,12,13,14,15,16,17,18,,Global_Biomass
Sim_10000_a,1.46E+16,1.49E+15,2.17E+15,1.47E+15,8.87E+13,1.82E+15,6.54E+14,1.91E+15,3.40E+14,,2.45E+16
Sim_10000_b,1.33E+16,1.52E+15,2.25E+15,1.49E+15,8.87E+13,1.83E+15,6.66E+14,1.93E+15,3.47E+14,,2.34E+16
Sim_10000_c,1.40E+16,1.54E+15,2.23E+15,1.44E+15,9.06E+13,1.62E+15,6.52E+14,1.89E+15,3.44E+14,,2.38E+16
Sim_10000_d,1.37E+16,1.61E+15,1.96E+15,1.43E+15,8.89E+13,1.61E+15,6.66E+14,1.82E+15,3.47E+14,,2.32E+16
Sim_10000_e,1.36E+16,1.60E+15,1.97E+15,1.55E+15,9.88E+13,1.64E+15,6.67E+14,1.76E+15,3.51E+14,,2.32E+16
Sim_10000_mean,1.38E+16,1.55E+15,2.12E+15,1.48E+15,9.11E+13,1.70E+15,6.61E+14,1.86E+15,3.46E+14,,2.36E+16
,,,,,,,,,,,
Sim_10000_a,7.81E+15,1.70E+15,2.08E+15,1.53E+15,9.28E+13,2.01E+15,6.74E+14,1.75E+15,3.50E+14,,1.80E+16
Sim_10000_b,7.64E+15,1.72E+15,2.12E+15,1.71E+15,9.21E+13,1.87E+15,6.76E+14,1.82E+15,3.51E+14,,1.80E+16
Sim_10000_c,8.08E+15,1.67E+15,2.10E+15,1.64E+15,9.57E+13,1.89E+15,6.56E+14,1.73E+15,3.45E+14,,1.82E+16
Sim_10000_d,7.61E+15,1.69E+15,2.07E+15,1.56E+15,9.74E+13,1.73E+15,6.70E+14,1.79E+15,3.56E+14,,1.76E+16
Sim_10000_e,8.03E+15,1.71E+15,2.13E+15,1.44E+15,9.54E+13,1.74E+15,6.72E+14,1.76E+15,3.53E+14,,1.79E+16
Sim_10000_mean,7.84E+15,1.70E+15,2.10E+15,1.58E+15,9.47E+13,1.85E+15,6.70E+14,1.77E+15,3.51E+14,,1.80E+16
,,,,,,,,,,,
Sim_10000_a,3.13E+15,1.50E+15,2.43E+15,1.73E+15,8.40E+13,1.96E+15,7.18E+14,1.62E+15,3.28E+14,,1.35E+16
Sim_10000_b,2.90E+15,1.49E+15,2.25E+15,1.73E+15,8.26E+13,1.94E+15,7.28E+14,1.51E+15,3.25E+14,,1.30E+16
Sim_10000_c,2.94E+15,1.50E+15,2.34E+15,1.55E+15,8.81E+13,1.99E+15,7.07E+14,1.63E+15,3.37E+14,,1.31E+16
Sim_10000_d,2.95E+15,1.53E+15,2.23E+15,1.52E+15,8.75E+13,1.77E+15,7.16E+14,1.57E+15,3.39E+14,,1.27E+16
Sim_10000_e,3.14E+15,1.44E+15,2.50E+15,1.67E+15,8.73E+13,1.92E+15,7.19E+14,1.91E+15,3.46E+14,,1.37E+16
Sim_10000_mean,3.01E+15,1.49E+15,2.35E+15,1.64E+15,8.59E+13,1.92E+15,7.17E+14,1.65E+15,3.35E+14,,1.32E+16
